20220404,0,2022-04-04,2022-04-05,0,0,0,1,93
20220405,1,2022-04-05,2022-04-06,0,0,0,1,94
20220406,2,2022-04-06,2022-04-07,0,0,0,1,95
20220407,3,2022-04-07,2022-04-08,0,0,0,1,96
20220408,4,2022-04-08,2022-04-09,0,0,0,1,97
20220409,5,2022-04-09,2022-04-10,0,0,0,1,98
20220410,6,2022-04-10,2022-04-11,0,0,0,1,99
20220411,0,2022-04-11,2022-04-12,0,0,0,1,100
20220412,1,2022-04-12,2022-04-13,0,0,0,1,101
20220413,2,2022-04-13,2022-04-14,0,0,0,1,102
20220414,3,2022-04-14,2022-04-15,0,0,0,1,103
20220415,4,2022-04-15,2022-04-16,0,0,0,1,104
20220416,5,2022-04-16,2022-04-17,0,0,0,1,105
20220417,6,2022-04-17,2022-04-18,0,0,0,1,106
20220418,0,2022-04-18,2022-04-19,0,0,0,1,107
20220419,1,2022-04-19,2022-04-20,0,0,0,1,108
20220420,2,2022-04-20,2022-04-21,0,0,0,1,109
20220421,3,2022-04-21,2022-04-22,0,0,0,1,110
20220422,4,2022-04-22,2022-04-23,0,0,0,1,111
20220423,5,2022-04-23,2022-04-24,0,0,0,1,112
20220424,6,2022-04-24,2022-04-25,0,0,0,1,113
20220425,0,2022-04-25,2022-04-26,0,0,0,1,114
20220426,1,2022-04-26,2022-04-27,0,0,0,1,115
20220427,2,2022-04-27,2022-04-28,0,0,0,1,116
20220428,3,2022-04-28,2022-04-29,0,0,0,1,117
20220429,4,2022-04-29,2022-04-30,0,0,0,1,118
20220430,5,2022-04-30,2022-05-01,0,0,0,1,119
20220501,6,2022-05-01,2022-05-02,0,0,0,1,120
20220502,0,2022-05-02,2022-05-03,0,0,0,1,121
20220503,1,2022-05-03,2022-05-04,0,0,0,1,122
20220504,2,2022-05-04,2022-05-05,0,0,0,1,123
20220505,3,2022-05-05,2022-05-06,0,0,0,1,124
20220506,4,2022-05-06,2022-05-07,0,0,0,1,125
20220507,5,2022-05-07,2022-05-08,0,0,0,1,126
20220508,6,2022-05-08,2022-05-09,0,0,0,1,127
20220509,0,2022-05-09,2022-05-10,0,0,0,1,128
20220510,1,2022-05-10,2022-05-11,0,0,0,1,129
20220511,2,2022-05-11,2022-05-12,0,0,0,1,130
20220512,3,2022-05-12,2022-05-13,0,0,0,1,131
20220513,4,2022-05-13,2022-05-14,0,0,0,1,132
20220514,5,2022-05-14,2022-05-15,0,0,0,1,133
20220515,6,2022-05-15,2022-05-16,0,0,0,1,134
20220516,0,2022-05-16,2022-05-17,0,0,0,1,135
20220517,1,2022-05-17,2022-05-18,0,0,0,1,136
20220518,2,2022-05-18,2022-05-19,0,0,0,1,137
20220519,3,2022-05-19,2022-05-20,0,0,0,1,138
20220520,4,2022-05-20,2022-05-21,0,0,0,1,139
20220521,5,2022-05-21,2022-05-22,0,0,0,1,140
20220522,6,2022-05-22,2022-05-23,0,0,0,1,141
20220523,0,2022-05-23,2022-05-24,0,0,0,1,142
20220524,1,2022-05-24,2022-05-25,0,0,0,1,143
20220525,2,2022-05-25,2022-05-26,0,0,0,1,144
20220526,3,2022-05-26,2022-05-27,0,0,0,1,145
20220527,4,2022-05-27,2022-05-28,0,0,0,1,146
20220528,5,2022-05-28,2022-05-29,0,0,0,1,147
20220529,6,2022-05-29,2022-05-30,0,0,0,1,148
20220530,0,2022-05-30,2022-05-31,0,0,0,1,149
20220531,1,2022-05-31,2022-06-01,0,0,0,1,150
20220601,2,2022-06-01,2022-06-02,0,0,0,1,151
20220602,3,2022-06-02,2022-06-03,0,0,0,1,152
20220603,4,2022-06-03,2022-06-04,0,0,0,1,153
20220604,5,2022-06-04,2022-06-05,0,0,0,1,154
20220605,6,2022-06-05,2022-06-06,0,0,0,1,155
20220606,0,2022-06-06,2022-06-07,0,0,0,1,156
20220607,1,2022-06-07,2022-06-08,0,0,0,1,157
20220608,2,2022-06-08,2022-06-09,0,0,0,1,158
20220609,3,2022-06-09,2022-06-10,0,0,0,1,159
20220610,4,2022-06-10,2022-06-11,0,0,0,1,160
20220611,5,2022-06-11,2022-06-12,0,0,0,1,161
20220612,6,2022-06-12,2022-06-13,0,0,0,1,162
20220613,0,2022-06-13,2022-06-14,0,0,0,1,163
20220614,1,2022-06-14,2022-06-15,0,0,0,1,164
20220615,2,2022-06-15,2022-06-16,0,0,0,1,165
20220616,3,2022-06-16,2022-06-17,0,0,0,1,166
20220617,4,2022-06-17,2022-06-18,0,0,0,1,167
20220618,5,2022-06-18,2022-06-19,0,0,0,1,168
20220619,6,2022-06-19,2022-06-20,0,0,0,1,169
20220620,0,2022-06-20,2022-06-21,0,0,0,1,170
20220621,1,2022-06-21,2022-06-22,0,0,0,1,171
20220622,2,2022-06-22,2022-06-23,0,0,0,1,172
20220623,3,2022-06-23,2022-06-24,0,0,0,1,173
20220624,4,2022-06-24,2022-06-25,0,0,0,1,174
20220625,5,2022-06-25,2022-06-26,0,0,0,1,175
20220626,6,2022-06-26,2022-06-27,0,0,0,1,176
20220627,0,2022-06-27,2022-06-28,0,0,0,1,177
20220628,1,2022-06-28,2022-06-29,0,0,0,1,178
20220629,2,2022-06-29,2022-06-30,0,0,0,1,179
20220630,3,2022-06-30,2022-07-01,0,0,0,1,180
20220701,4,2022-07-01,2022-07-02,0,0,0,1,181
20220702,5,2022-07-02,2022-07-03,0,0,0,1,182
20220703,6,2022-07-03,2022-07-04,0,0,0,1,183
20220704,0,2022-07-04,2022-07-05,0,0,0,1,184
20220705,1,2022-07-05,2022-07-06,0,0,0,1,185
20220706,2,2022-07-06,2022-07-07,0,0,0,1,186
20220707,3,2022-07-07,2022-07-08,0,0,0,1,187
20220708,4,2022-07-08,2022-07-09,0,0,0,1,188
20220709,5,2022-07-09,2022-07-10,0,0,0,1,189
20220710,6,2022-07-10,2022-07-11,0,0,0,1,190
20220711,0,2022-07-11,2022-07-12,0,0,0,1,191
20220712,1,2022-07-12,2022-07-13,0,0,0,1,192
20220713,2,2022-07-13,2022-07-14,0,0,0,1,193
20220714,3,2022-07-14,2022-07-15,0,0,0,1,194
20220715,4,2022-07-15,2022-07-16,0,0,0,1,195
20220716,5,2022-07-16,2022-07-17,0,0,0,1,196
20220717,6,2022-07-17,2022-07-18,0,0,0,1,197
20220718,0,2022-07-18,2022-07-19,0,0,0,1,198
20220719,1,2022-07-19,2022-07-20,0,0,0,1,199
20220720,2,2022-07-20,2022-07-21,0,0,0,1,200
20220721,3,2022-07-21,2022-07-22,0,0,0,1,201
20220722,4,2022-07-22,2022-07-23,0,0,0,1,202
20220723,5,2022-07-23,2022-07-24,0,0,0,1,203
20220724,6,2022-07-24,2022-07-25,0,0,0,1,204
20220725,0,2022-07-25,2022-07-26,0,0,0,1,205
20220726,1,2022-07-26,2022-07-27,0,0,0,1,206
20220727,2,2022-07-27,2022-07-28,0,0,0,1,207
20220728,3,2022-07-28,2022-07-29,0,0,0,1,208
20220729,4,2022-07-29,2022-07-30,0,0,0,1,209
20220730,5,2022-07-30,2022-07-31,0,0,0,1,210
20220731,6,2022-07-31,2022-08-01,0,0,0,1,211
20220801,0,2022-08-01,2022-08-02,0,0,0,1,212
20220802,1,2022-08-02,2022-08-03,0,0,0,1,213
20220803,2,2022-08-03,2022-08-04,0,0,0,1,214
20220804,3,2022-08-04,2022-08-05,0,0,0,1,215
20220805,4,2022-08-05,2022-08-06,0,0,0,1,216
20220806,5,2022-08-06,2022-08-07,0,0,0,1,217
20220807,6,2022-08-07,2022-08-08,0,0,0,1,218
20220808,0,2022-08-08,2022-08-09,0,0,0,1,219
20220809,1,2022-08-09,2022-08-10,0,0,0,1,220
20220810,2,2022-08-10,2022-08-11,0,0,0,1,221
20220811,3,2022-08-11,2022-08-12,0,0,0,1,222
20220812,4,2022-08-12,2022-08-13,0,0,0,1,223
20220813,5,2022-08-13,2022-08-14,0,0,0,1,224
20220814,6,2022-08-14,2022-08-15,0,0,0,1,225
20220815,0,2022-08-15,2022-08-16,0,0,0,1,226
20220816,1,2022-08-16,2022-08-17,0,0,0,1,227
20220817,2,2022-08-17,2022-08-18,0,0,0,1,228
20220818,3,2022-08-18,2022-08-19,0,0,0,1,229
20220819,4,2022-08-19,2022-08-20,0,0,0,1,230
20220820,5,2022-08-20,2022-08-21,0,0,0,1,231
20220821,6,2022-08-21,2022-08-22,0,0,0,1,232
20220822,0,2022-08-22,2022-08-23,0,0,0,1,233
20220823,1,2022-08-23,2022-08-24,0,0,0,1,234
20220824,2,2022-08-24,2022-08-25,0,0,0,1,235
20220825,3,2022-08-25,2022-08-26,0,0,0,1,236
20220826,4,2022-08-26,2022-08-27,0,0,0,1,237
20220827,5,2022-08-27,2022-08-28,0,0,0,1,238
20220828,6,2022-08-28,2022-08-29,0,0,0,1,239
20220829,0,2022-08-29,2022-08-30,0,0,0,1,240
20220830,1,2022-08-30,2022-08-31,0,0,0,1,241
20220831,2,2022-08-31,2022-09-01,0,0,0,1,242
20220901,3,2022-09-01,2022-09-02,0,0,0,1,243
20220902,4,2022-09-02,2022-09-03,0,0,0,1,244
20220903,5,2022-09-03,2022-09-04,0,0,0,1,245
20220904,6,2022-09-04,2022-09-05,0,0,0,1,246
20220905,0,2022-09-05,2022-09-06,0,0,0,1,247
20220906,1,2022-09-06,2022-09-07,0,0,0,1,248
20220907,2,2022-09-07,2022-09-08,0,0,0,1,249
20220908,3,2022-09-08,2022-09-09,0,0,0,1,250
20220909,4,2022-09-09,2022-09-10,0,0,0,1,251
20220910,5,2022-09-10,2022-09-11,0,0,0,1,252
20220911,6,2022-09-11,2022-09-12,0,0,0,1,253
20220912,0,2022-09-12,2022-09-13,0,0,0,1,254
20220913,1,2022-09-13,2022-09-14,0,0,0,1,255
20220914,2,2022-09-14,2022-09-15,0,0,0,1,256
20220915,3,2022-09-15,2022-09-16,0,0,0,1,257
20220916,4,2022-09-16,2022-09-17,0,0,0,1,258
20220917,5,2022-09-17,2022-09-18,0,0,0,1,259
20220918,6,2022-09-18,2022-09-19,0,0,0,1,260
20220919,0,2022-09-19,2022-09-20,0,0,0,1,261
20220920,1,2022-09-20,2022-09-21,0,0,0,1,262
20220921,2,2022-09-21,2022-09-22,0,0,0,1,263
20220922,3,2022-09-22,2022-09-23,0,0,0,1,264
20220923,4,2022-09-23,2022-09-24,0,0,0,1,265
20220924,5,2022-09-24,2022-09-25,0,0,0,1,266
20220925,6,2022-09-25,2022-09-26,0,0,0,1,267
20220926,0,2022-09-26,2022-09-27,0,0,0,1,268
20220927,1,2022-09-27,2022-09-28,0,0,0,1,269
20220928,2,2022-09-28,2022-09-29,0,0,0,1,270
20220929,3,2022-09-29,2022-09-30,0,0,0,1,271
20220930,4,2022-09-30,2022-10-01,0,0,0,1,272
20221001,5,2022-10-01,2022-10-02,0,0,0,1,273
20221002,6,2022-10-02,2022-10-03,0,0,0,1,274
20221003,0,2022-10-03,2022-10-04,0,0,0,1,275
20221004,1,2022-10-04,2022-10-05,0,0,0,1,276
20221005,2,2022-10-05,2022-10-06,0,0,0,1,277
20221006,3,2022-10-06,2022-10-07,0,0,0,1,278
20221007,4,2022-10-07,2022-10-08,0,0,0,1,279
20221008,5,2022-10-08,2022-10-09,0,0,0,1,280
20221009,6,2022-10-09,2022-10-10,0,0,0,1,281
20221010,0,2022-10-10,2022-10-11,0,0,0,1,282
20221011,1,2022-10-11,2022-10-12,0,0,0,1,283
20221012,2,2022-10-12,2022-10-13,0,0,0,1,284
20221013,3,2022-10-13,2022-10-14,0,0,0,1,285
20221014,4,2022-10-14,2022-10-15,0,0,0,1,286
20221015,5,2022-10-15,2022-10-16,0,0,0,1,287
20221016,6,2022-10-16,2022-10-17,0,0,0,1,288
20221017,0,2022-10-17,2022-10-18,0,0,0,1,289
20221018,1,2022-10-18,2022-10-19,0,0,0,1,290
20221019,2,2022-10-19,2022-10-20,0,0,0,1,291
20221020,3,2022-10-20,2022-10-21,0,0,0,1,292
20221021,4,2022-10-21,2022-10-22,0,0,0,1,293
20221022,5,2022-10-22,2022-10-23,0,0,0,1,294
20221023,6,2022-10-23,2022-10-24,0,0,0,1,295
20221024,0,2022-10-24,2022-10-25,0,0,0,1,296
20221025,1,2022-10-25,2022-10-26,0,0,0,1,297
20221026,2,2022-10-26,2022-10-27,0,0,0,1,298
20221027,3,2022-10-27,2022-10-28,0,0,0,1,299
20221028,4,2022-10-28,2022-10-29,0,0,0,1,300
20221029,5,2022-10-29,2022-10-30,0,0,0,1,301
20221030,6,2022-10-30,2022-10-31,0,0,0,1,302
20221031,0,2022-10-31,2022-11-01,0,0,0,1,303
20221101,1,2022-11-01,2022-11-02,0,0,0,1,304
20221102,2,2022-11-02,2022-11-03,0,0,0,1,305
20221103,3,2022-11-03,2022-11-04,0,0,0,1,306
20221104,4,2022-11-04,2022-11-05,0,0,0,1,307
20221105,5,2022-11-05,2022-11-06,0,0,0,1,308
20221106,6,2022-11-06,2022-11-07,0,0,0,1,309
20221107,0,2022-11-07,2022-11-08,0,0,0,0,310
20221108,1,2022-11-08,2022-11-09,0,0,0,0,311
20221109,2,2022-11-09,2022-11-10,0,0,0,0,312
20221110,3,2022-11-10,2022-11-11,0,0,0,0,313
20221111,4,2022-11-11,2022-11-12,0,0,0,0,314
20221112,5,2022-11-12,2022-11-13,0,0,0,0,315
20221113,6,2022-11-13,2022-11-14,0,0,0,0,316
20221114,0,2022-11-14,2022-11-15,0,0,0,0,317
20221115,1,2022-11-15,2022-11-16,0,0,0,0,318
20221116,2,2022-11-16,2022-11-17,0,0,0,0,319
20221117,3,2022-11-17,2022-11-18,0,0,0,0,320
20221118,4,2022-11-18,2022-11-19,0,0,0,0,321
20221119,5,2022-11-19,2022-11-20,0,0,0,0,322
20221120,6,2022-11-20,2022-11-21,0,0,0,0,323
20221121,0,2022-11-21,2022-11-22,0,0,0,0,324
20221122,1,2022-11-22,2022-11-23,0,0,0,0,325
20221123,2,2022-11-23,2022-11-24,0,0,0,0,326
20221124,3,2022-11-24,2022-11-25,0,0,0,0,327
20221125,4,2022-11-25,2022-11-26,0,0,0,0,328
20221126,5,2022-11-26,2022-11-27,0,0,0,0,329
20221127,6,2022-11-27,2022-11-28,0,0,0,0,330
20221128,0,2022-11-28,2022-11-29,0,0,0,0,331
20221129,1,2022-11-29,2022-11-30,0,0,0,0,332
20221130,2,2022-11-30,2022-12-01,0,0,0,0,333
20221201,3,2022-12-01,2022-12-02,0,0,0,0,334
20221202,4,2022-12-02,2022-12-03,0,0,0,0,335
20221203,5,2022-12-03,2022-12-04,0,0,0,0,336
20221204,6,2022-12-04,2022-12-05,0,0,0,0,337
20221205,0,2022-12-05,2022-12-06,0,0,0,0,338
20221206,1,2022-12-06,2022-12-07,0,0,0,0,339
20221207,2,2022-12-07,2022-12-08,0,0,0,0,340
20221208,3,2022-12-08,2022-12-09,0,0,0,0,341
20221209,4,2022-12-09,2022-12-10,0,0,0,0,342
20221210,5,2022-12-10,2022-12-11,0,0,0,0,343
20221211,6,2022-12-11,2022-12-12,0,0,0,0,344
20221212,0,2022-12-12,2022-12-13,0,0,0,0,345
20221213,1,2022-12-13,2022-12-14,0,0,0,0,346
20221214,2,2022-12-14,2022-12-15,0,0,0,0,347
20221215,3,2022-12-15,2022-12-16,0,0,0,0,348
20221216,4,2022-12-16,2022-12-17,0,0,0,0,349
20221217,5,2022-12-17,2022-12-18,0,0,0,0,350
20221218,6,2022-12-18,2022-12-19,0,0,0,0,351
20221219,0,2022-12-19,2022-12-20,0,0,0,0,352
20221220,1,2022-12-20,2022-12-21,0,0,0,0,353
20221221,2,2022-12-21,2022-12-22,0,0,0,0,354
20221222,3,2022-12-22,2022-12-23,0,0,0,0,355
20221223,4,2022-12-23,2022-12-24,0,0,0,0,356
20221224,5,2022-12-24,2022-12-25,0,0,0,0,357
20221225,6,2022-12-25,2022-12-26,0,0,0,0,358
20221226,0,2022-12-26,2022-12-27,0,0,0,0,359
20221227,1,2022-12-27,2022-12-28,0,0,0,0,360
20221228,2,2022-12-28,2022-12-29,0,0,0,0,361
20221229,3,2022-12-29,2022-12-30,0,0,0,0,362
20221230,4,2022-12-30,2022-12-31,0,0,0,0,363
20221231,5,2022-12-31,2023-01-01,0,0,0,0,364
20230101,6,2023-01-01,2023-01-02,0,0,0,0,365
20230102,0,2023-01-02,2023-01-03,0,0,0,0,366
20230103,1,2023-01-03,2023-01-04,0,0,0,0,367
20230104,2,2023-01-04,2023-01-05,0,0,0,0,368
20230105,3,2023-01-05,2023-01-06,0,0,0,0,369
20230106,4,2023-01-06,2023-01-07,0,0,0,0,370
20230107,5,2023-01-07,2023-01-08,0,0,0,0,371
20230108,6,2023-01-08,2023-01-09,0,0,0,0,372
20230109,0,2023-01-09,2023-01-10,0,0,0,0,373
20230110,1,2023-01-10,2023-01-11,0,0,0,0,374
20230111,2,2023-01-11,2023-01-12,0,0,0,0,375
20230112,3,2023-01-12,2023-01-13,0,0,0,0,376
20230113,4,2023-01-13,2023-01-14,0,0,0,0,377
20230114,5,2023-01-14,2023-01-15,0,0,0,0,378
20230115,6,2023-01-15,2023-01-16,0,0,0,0,379
20230116,0,2023-01-16,2023-01-17,0,0,0,0,380
20230117,1,2023-01-17,2023-01-18,0,0,0,0,381
20230118,2,2023-01-18,2023-01-19,0,0,0,0,382
20230119,3,2023-01-19,2023-01-20,0,0,0,0,383
20230120,4,2023-01-20,2023-01-21,0,0,0,0,384
20230121,5,2023-01-21,2023-01-22,0,0,0,0,385
20230122,6,2023-01-22,2023-01-23,0,0,0,0,386
20230123,0,2023-01-23,2023-01-24,0,0,0,0,387
20230124,1,2023-01-24,2023-01-25,0,0,0,0,388
20230125,2,2023-01-25,2023-01-26,0,0,0,0,389
20230126,3,2023-01-26,2023-01-27,0,0,0,0,390
20230127,4,2023-01-27,2023-01-28,0,0,0,0,391
20230128,5,2023-01-28,2023-01-29,0,0,0,0,392
20230129,6,2023-01-29,2023-01-30,0,0,0,0,393
20230130,0,2023-01-30,2023-01-31,0,0,0,0,394
20230131,1,2023-01-31,2023-02-01,0,0,0,0,395
20230201,2,2023-02-01,2023-02-02,0,0,0,0,396
20230202,3,2023-02-02,2023-02-03,0,0,0,0,397
20230203,4,2023-02-03,2023-02-04,0,0,0,0,398
20230204,5,2023-02-04,2023-02-05,0,0,0,0,399
20230205,6,2023-02-05,2023-02-06,0,0,0,0,400
20230206,0,2023-02-06,2023-02-07,0,0,0,0,401
20230207,1,2023-02-07,2023-02-08,0,0,0,0,402
20230208,2,2023-02-08,2023-02-09,0,0,0,0,403
20230209,3,2023-02-09,2023-02-10,0,0,0,0,404
20230210,4,2023-02-10,2023-02-11,0,0,0,0,405
20230211,5,2023-02-11,2023-02-12,0,0,0,0,406
20230212,6,2023-02-12,2023-02-13,0,0,0,0,407
20230213,0,2023-02-13,2023-02-14,0,0,0,0,408
20230214,1,2023-02-14,2023-02-15,0,0,0,0,409
20230215,2,2023-02-15,2023-02-16,0,0,0,0,410
20230216,3,2023-02-16,2023-02-17,0,0,0,0,411
20230217,4,2023-02-17,2023-02-18,0,0,0,0,412
20230218,5,2023-02-18,2023-02-19,0,0,0,0,413
20230219,6,2023-02-19,2023-02-20,0,0,0,0,414
20230220,0,2023-02-20,2023-02-21,0,0,0,0,415
20230221,1,2023-02-21,2023-02-22,0,0,0,0,416
20230222,2,2023-02-22,2023-02-23,0,0,0,0,417
20230223,3,2023-02-23,2023-02-24,0,0,0,0,418
20230224,4,2023-02-24,2023-02-25,0,0,0,0,419
20230225,5,2023-02-25,2023-02-26,0,0,0,0,420
20230226,6,2023-02-26,2023-02-27,0,0,0,0,421
20230227,0,2023-02-27,2023-02-28,0,0,0,0,422
20230228,1,2023-02-28,2023-03-01,0,0,0,0,423
20230301,2,2023-03-01,2023-03-02,0,0,0,0,424
20230302,3,2023-03-02,2023-03-03,0,0,0,0,425
20230303,4,2023-03-03,2023-03-04,0,0,0,0,426
20230304,5,2023-03-04,2023-03-05,0,0,0,0,427
20230305,6,2023-03-05,2023-03-06,0,0,0,0,428
20230306,0,2023-03-06,2023-03-07,0,0,0,0,429
20230307,1,2023-03-07,2023-03-08,0,0,0,0,430
20230308,2,2023-03-08,2023-03-09,0,0,0,0,431
20230309,3,2023-03-09,2023-03-10,0,0,0,0,432
20230310,4,2023-03-10,2023-03-11,0,0,0,0,433
20230311,5,2023-03-11,2023-03-12,0,0,0,0,434
20230312,6,2023-03-12,2023-03-13,0,0,0,1,435
20230313,0,2023-03-13,2023-03-14,0,0,0,1,436
20230314,1,2023-03-14,2023-03-15,0,0,0,1,437
20230315,2,2023-03-15,2023-03-16,0,0,0,1,438
20230316,3,2023-03-16,2023-03-17,0,0,0,1,439
20230317,4,2023-03-17,2023-03-18,0,0,0,1,440
20230318,5,2023-03-18,2023-03-19,0,0,0,1,441
20230319,6,2023-03-19,2023-03-20,0,0,0,1,442
20230320,0,2023-03-20,2023-03-21,0,0,0,1,443
20230321,1,2023-03-21,2023-03-22,0,0,0,1,444
20230322,2,2023-03-22,2023-03-23,0,0,0,1,445
20230323,3,2023-03-23,2023-03-24,0,0,0,1,446
20230324,4,2023-03-24,2023-03-25,0,0,0,1,447
20230325,5,2023-03-25,2023-03-26,0,0,0,1,448
20230326,6,2023-03-26,2023-03-27,0,0,0,1,449
20230327,0,2023-03-27,2023-03-28,0,0,0,1,450
20230328,1,2023-03-28,2023-03-29,0,0,0,1,451
20230329,2,2023-03-29,2023-03-30,0,0,0,1,452
20230330,3,2023-03-30,2023-03-31,0,0,0,1,453
